label,count,layer,description
Source,3451,Layer1_Source,全データの起点。来歴・provenance管理の中心
Fact,3103,Layer3_Knowledge,客観的事実（確認済み）
Claim,2401,Layer3_Knowledge,アナリスト見解・主張・評価
Entity,1647,Layer4_Entity,全エンティティのスーパーノード
Chunk,1532,Layer2_Lexical,テキスト断片（根拠リンク用）
Topic,721,Layer6_Semantic,横断的タグ分類（427,326件のTAGGEDリレーション）
Technology,357,Layer4_Entity,テクノロジー・製品カテゴリ
FinancialDataPoint,565,Layer5_Financial,XBRL/SEC EDGAR 定量財務データ
Domain,439,Layer1_Source,Webドメイン管理
Company,298,Layer4_Entity,上場・非上場企業
Indicator,258,Layer4_Entity,経済指標（GDP/CPI/FFR等）
Author,115,Layer7_Analyst,レポート著者・アナリスト
Person,115,Layer4_Entity,個人（経営者・政策立案者等）
Organization,208,Layer4_Entity,機関・政府・NGO等
Sector,90,Layer4_Entity,GICS/SICセクター
Product,129,Layer4_Entity,個別製品・サービス
MarketIndex,49,Layer4_Entity,株価指数・市場インデックス
Industry,48,Layer4_Entity,業種
EntityType,42,Layer8_Taxonomy,エンティティ種別マスター（42種）
Instrument,43,Layer4_Entity,金融商品一般
Concept,44,Layer4_Entity,抽象概念・トレンド
FiscalPeriod,47,Layer5_Financial,会計期間管理
Country,32,Layer4_Entity,国・地域
Metric,55,Layer5_Financial,財務指標定義（EPS/Revenue等）
Stance,74,Layer7_Analyst,アナリストのレーティング・目標株価
UnitOfMeasure,38,Layer5_Financial,単位（通貨/割合/絶対値等）
Commodity,25,Layer4_Entity,コモディティ（原油/金属等）
QualitySnapshot,7,Layer9_Ops,KG品質スコア履歴
Identifier,144,Layer4_Entity,外部識別子（ISIN/CUSIP等）
TrustLevel,20,Layer8_Taxonomy,ソース信頼度レベル
SkillRun,20,Layer9_Ops,スキル実行トレースログ
Memory,20,Layer9_Ops,設計判断・会話記憶
Insight,23,Layer3_Knowledge,洞察（Fact/Claimから派生）
InstrumentClass,13,Layer8_Taxonomy,金融商品クラス（FIBO準拠）
Broker,9,Layer4_Entity,証券会社
Pipeline,10,Layer9_Ops,投入パイプライン定義
Question,3,Layer9_Ops,未解決質問
Language,3,Layer8_Taxonomy,言語マスター（en/ja/zh）
ConceptCategory,8,Layer8_Taxonomy,Conceptのカテゴリ分類
DataPointType,4,Layer8_Taxonomy,データポイント種別マスター
FactType,10,Layer8_Taxonomy,事実種別マスター
ClaimType,14,Layer8_Taxonomy,Claim種別マスター（direction付き）
SourceType,17,Layer8_Taxonomy,ソース種別マスター
AuthorType,4,Layer8_Taxonomy,著者種別マスター
TOTAL,14589,,,
