label,property,type,indexed,unique,description
Author,author_id,STRING,RANGE,UNIQUE,著者UUID
Author,name,STRING,FALSE,FALSE,著者名
Author,author_type,STRING,FALSE,FALSE,著者種別（analyst/researcher/journalist等）
Author,organization,STRING,FALSE,FALSE,所属組織名
Author,created_at,DATE_TIME,FALSE,FALSE,作成日時
AuthorType,author_type_id,STRING,FALSE,FALSE,著者種別ID
AuthorType,name,STRING,FALSE,FALSE,著者種別名（英語）
AuthorType,name_ja,STRING,FALSE,FALSE,著者種別名（日本語）
Broker,entity_id,STRING,FALSE,FALSE,エンティティID
Broker,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Broker,entity_type,STRING,FALSE,FALSE,エンティティ種別
Broker,name,STRING,FALSE,FALSE,証券会社名
Broker,sub_type,STRING,FALSE,FALSE,サブタイプ
Broker,match_layer,STRING,FALSE,FALSE,マッチングレイヤー
Broker,matched_name,STRING,FALSE,FALSE,マッチングした名称
Broker,resolved,BOOLEAN,FALSE,FALSE,名寄せ解決済みフラグ
Broker,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Chunk,chunk_id,STRING,RANGE,UNIQUE,チャンクUUID
Chunk,chunk_index,INTEGER,FALSE,FALSE,ソース内チャンク順序
Chunk,section_title,STRING,FALSE,FALSE,セクションタイトル
Chunk,content,STRING,FALSE,FALSE,テキスト本文
Chunk,char_count,INTEGER,FALSE,FALSE,文字数
Chunk,has_tables,BOOLEAN,FALSE,FALSE,表を含むフラグ
Chunk,created_at,DATE_TIME,FALSE,FALSE,作成日時
Claim,claim_id,STRING,RANGE,UNIQUE,Claim UUID
Claim,claim_type,STRING,RANGE,FALSE,Claim種別（bullish/bearish/target_price/risk_factor等）
Claim,sentiment,FLOAT,RANGE,FALSE,センチメントスコア（-1.0〜+1.0）
Claim,statement,STRING,FALSE,FALSE,主張の命題形式
Claim,content,STRING,FALSE,FALSE,主張の全文
Claim,summary,STRING,FALSE,FALSE,要約
Claim,confidence,FLOAT,FALSE,FALSE,確信度（0.0〜1.0）
Claim,target_price,FLOAT,FALSE,FALSE,目標株価
Claim,rating,STRING,FALSE,FALSE,レーティング（Buy/Hold/Sell等）
Claim,time_horizon,STRING,FALSE,FALSE,時間軸（short/medium/long）
Claim,as_of_date,STRING,FALSE,FALSE,情報基準日
Claim,total_score,INTEGER,FALSE,FALSE,品質スコア合計
Claim,rank,INTEGER,FALSE,FALSE,優先度ランク
Claim,magnitude,FLOAT,FALSE,FALSE,インパクト規模
Claim,feasibility,INTEGER,FALSE,FALSE,実現可能性スコア（1-5）
Claim,uniqueness,INTEGER,FALSE,FALSE,独自性スコア（1-5）
Claim,timeliness,INTEGER,FALSE,FALSE,時事性スコア（1-5）
Claim,reader_interest,INTEGER,FALSE,FALSE,読者関心スコア（1-5）
Claim,information_availability,INTEGER,FALSE,FALSE,情報入手可能性スコア（1-5）
Claim,target_audience,STRING,FALSE,FALSE,対象読者
Claim,key_points,STRING,FALSE,FALSE,主要ポイント（JSON配列文字列）
Claim,topic_title,STRING,FALSE,FALSE,記事トピックタイトル候補
Claim,source_id,STRING,FALSE,FALSE,参照Source ID
Claim,source,STRING,FALSE,FALSE,ソース名（非正規化）
Claim,source_context,STRING,FALSE,FALSE,ソースコンテキスト
Claim,source_section,STRING,FALSE,FALSE,ソースセクション名
Claim,suggested_period,STRING,FALSE,FALSE,示唆される時間軸
Claim,category,STRING,FALSE,FALSE,カテゴリ分類
Claim,estimated_word_count,INTEGER,FALSE,FALSE,推定語数
Claim,classified_at,STRING,FALSE,FALSE,分類日時
Claim,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Claim,created_at,DATE_TIME,FALSE,FALSE,作成日時
Claim,updated_at,DATE_TIME,FALSE,FALSE,更新日時
ClaimType,claim_type_id,STRING,FALSE,FALSE,ClaimType ID
ClaimType,name,STRING,FALSE,FALSE,Claim種別名（英語）
ClaimType,name_ja,STRING,FALSE,FALSE,Claim種別名（日本語）
ClaimType,direction,STRING,FALSE,FALSE,方向性（positive/negative/neutral）
Commodity,entity_id,STRING,FALSE,FALSE,エンティティID
Commodity,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Commodity,entity_type,STRING,FALSE,FALSE,エンティティ種別（commodity）
Commodity,name,STRING,FALSE,FALSE,コモディティ名
Commodity,ticker,STRING,FALSE,FALSE,ティッカー
Commodity,sub_type,STRING,FALSE,FALSE,サブタイプ（energy/metal/agriculture等）
Commodity,sector,STRING,FALSE,FALSE,セクター
Commodity,industry,STRING,FALSE,FALSE,業種
Commodity,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Commodity,updated_at,DATE_TIME,FALSE,FALSE,更新日時
