relationship_type,count,category,description
TAGGED,427326,Semantic,トピックタグ付与（全エンティティ横断・最多）
ABOUT,5343,Knowledge,対象エンティティへのリンク
SUPPORTED_BY,5150,Knowledge,ClaimをFactで裏付け
RELATES_TO,4433,Semantic,汎用関連リレーション（bridge型・hops/path_weightプロパティ付き）
STATES_FACT,4057,Knowledge,エンティティが述べる事実
EXTRACTED_FROM,3699,Source,Fact/ClaimのSource/Chunkへの抽出元リンク
FROM_DOMAIN,3014,Source,SourceのDomain帰属
SHARES_TOPIC,3088,Semantic,共通トピック経由の間接関連
IS_FACT_TYPE,2923,Taxonomy,事実種別分類
RATED_AS,2821,Source,Source信頼度評価
MAKES_CLAIM,2211,Source,SourceがClaimを含む
IS_SOURCE_TYPE,1823,Taxonomy,ソース種別分類
DERIVED_FROM,1666,Knowledge,洞察・ClaimのFact/Claim派生元
INFLUENCES,1637,Entity,影響関係（entity→entity）
CONTAINS_CHUNK,1532,Source,SourceからChunkへの分割
IS_TYPE,1593,Taxonomy,エンティティ種別分類（統合版）
IS_CLAIM_TYPE,1023,Taxonomy,Claim種別分類
MENTIONS,925,Knowledge,Factが言及するエンティティ（弱い関連）
INGESTED_VIA,2733,Source,SourceのPipeline帰属
IS_CATEGORY,217,Taxonomy,Concept/MetricのConceptCategory分類
CO_MENTIONED_WITH,171,Semantic,同一文書内共起関連
IN_SECTOR,143,Entity,セクター帰属
HAS_IDENTIFIER,145,Entity,外部識別子（ISIN/CUSIP/CIK等）
AUTHORED_BY,192,Source,SourceのAuthor帰属
IN_INDUSTRY,91,Entity,業種帰属
IN_UNIT,453,Financial,財務データポイントの単位
HAS_DATAPOINT,463,Financial,企業の財務データポイント保有
COMPETES_WITH,82,Entity,競合関係
FOR_PERIOD,537,Financial,財務データポイントの対象期間
CAUSES,46,Semantic,因果関係（Commodity/Concept→Entity）
SUBSIDIARY_OF,18,Entity,子会社・親会社関係
IS_INSTRUMENT_CLASS,93,Taxonomy,金融商品クラス分類（FIBO準拠）
COAUTHORED_WITH,259,Analyst,共著関係（Author→Author）
FOR_METRIC,180,Financial,財務データポイントが参照する指標
IS_DATAPOINT_TYPE,272,Taxonomy,データポイント種別分類
MEASURES,336,Financial,財務データポイントが計測する指標
TREND,114,Financial,財務データの時系列変化（Source単位スコーピング）
HOLDS_STANCE,74,Analyst,アナリストのレーティング・スタンス表明
ON_ENTITY,74,Analyst,スタンス対象エンティティ
BASED_ON,74,Analyst,スタンスの根拠ソース
CONTRADICTS,159,Knowledge,矛盾するClaim間のリンク
IS_AUTHOR_TYPE,115,Taxonomy,著者種別分類
IS_ENTITY_TYPE,4,Taxonomy,エンティティ種別（レガシー・IS_TYPEに統合済み）
IN_LANGUAGE,128,Source,SourceのLanguage属性
BELONGS_TO,24,Semantic,エンティティのTopicへの帰属（レガシー）
SOURCED_FROM,16,Knowledge,FactのSource直接参照
AFFILIATED_WITH,21,Analyst,著者の所属機関
PARTNERS_WITH,23,Entity,パートナーシップ関係
CUSTOMER_OF,30,Entity,顧客関係
NEXT_PERIOD,15,Financial,FiscalPeriodの時系列リンク（前後期間）
INVESTED_IN,9,Entity,投資関係
IN_PARENT_SECTOR,16,Entity,業種の親セクター
ASKS_ABOUT,7,Ops,Questionの対象エンティティ
OPERATES_IN,2,Entity,事業展開国
GOVERNS,6,Entity,管轄・統治関係
PARENT_CLASS,6,Taxonomy,InstrumentClassの親クラス（FIBO階層）
LED_BY,1,Entity,経営者リンク
SPUN_OFF_FROM,1,Entity,スピンオフ元企業
TOTAL,481614,,,
