relationship_type,count,from_labels,to_labels,properties,description
ABOUT,5343,"Fact,Claim,FinancialDataPoint,Source,Insight","Entity,Company,Country,Organization,Person,Concept,Instrument,Technology,Commodity,Indicator,MarketIndex,Broker,Sector,Product",,対象エンティティへのリンク
AFFILIATED_WITH,21,Author,"Entity,Organization,Broker,Company",,著者の所属機関
ASKS_ABOUT,7,Question,"Entity,Concept,Technology",,未解決質問の対象
AUTHORED_BY,192,Source,Author,,ソースの著者帰属
BASED_ON,74,Stance,Source,,スタンスの根拠ソース
BELONGS_TO,24,Entity,Topic,,エンティティのトピック帰属（レガシー）
CAUSES,46,"Commodity,Concept,Entity","Entity,Company","evidence_count,mechanism,confidence,via",因果関係
CO_MENTIONED_WITH,171,"Entity,Company,Commodity,Instrument,MarketIndex,Person,Organization,Country,Concept,Indicator,Broker","Entity,Company,Commodity,Instrument,MarketIndex,Person,Organization,Country,Concept,Indicator,Broker","created_at,shared_claim_count,sample_contexts,method",同一文書内共起関連
COAUTHORED_WITH,259,Author,Author,"first_collaboration,paper_count",共著関係
COMPETES_WITH,82,"Company,Entity","Entity,Company","evidence_count,method,confidence,context,created_at,path_weight,since",競合関係
CONTAINS_CHUNK,1532,Source,Chunk,"chunk_order",ソースからチャンクへの分割
CONTRADICTS,159,Claim,Claim,,矛盾するClaimへのリンク
CUSTOMER_OF,30,"Company,Entity","Entity,Company","evidence_count,method,confidence,context,created_at,path_weight,since",顧客関係
DERIVED_FROM,1666,"Insight,Claim","Fact,Claim",,派生元Fact/Claim
EXTRACTED_FROM,3699,"Fact,Claim,FinancialDataPoint","Source,Chunk",,抽出元ソース/チャンク
FOR_METRIC,180,FinancialDataPoint,Metric,,参照する財務指標
FOR_PERIOD,537,FinancialDataPoint,FiscalPeriod,,対象会計期間
FROM_DOMAIN,3014,Source,Domain,,ソースのドメイン帰属
GOVERNS,6,"Entity,Organization,Person","Entity,Country",,管轄・統治関係
HAS_DATAPOINT,463,Entity,FinancialDataPoint,,企業の財務データポイント保有
HAS_IDENTIFIER,145,"Entity,Company,Commodity,Instrument,MarketIndex,Sector","Identifier",,外部識別子（ISIN/CUSIP/CIK等）
HOLDS_STANCE,74,Author,Stance,,アナリストのレーティング・目標株価スタンス
IN_INDUSTRY,91,"Entity,Company,Commodity,Concept,Indicator,Instrument,MarketIndex,Organization",Industry,,業種帰属
IN_LANGUAGE,128,Source,Language,,ソースの言語属性
IN_PARENT_SECTOR,16,Industry,Sector,,業種の親セクター
IN_SECTOR,143,"Entity,Company,Concept,Instrument,MarketIndex,Organization",Sector,"created_at,sic_code,source,sic_description,confidence",セクター帰属
IN_UNIT,453,FinancialDataPoint,UnitOfMeasure,,データポイントの単位
INFLUENCES,1637,"Entity,Person","Entity,Country,Instrument","context,created_at,shared_entity_count,method,confidence",影響関係
INGESTED_VIA,2733,Source,Pipeline,,投入パイプライン帰属
INVESTED_IN,9,"Company,Entity","Entity,Company","context,created_at,method,confidence,since",投資関係
IS_AUTHOR_TYPE,115,Author,AuthorType,,著者種別分類
IS_CATEGORY,217,"Concept,Metric",ConceptCategory,,カテゴリ分類
IS_CLAIM_TYPE,1023,Claim,ClaimType,,Claim種別分類
IS_DATAPOINT_TYPE,272,FinancialDataPoint,DataPointType,,データポイント種別分類
IS_ENTITY_TYPE,4,Company,EntityType,,エンティティ種別（レガシー）
IS_FACT_TYPE,2923,Fact,FactType,,事実種別分類
IS_INSTRUMENT_CLASS,93,"Entity,Instrument,Commodity,MarketIndex",InstrumentClass,,金融商品クラス分類（FIBO準拠）
IS_SOURCE_TYPE,1823,Source,SourceType,,ソース種別分類
IS_TYPE,1593,"Entity,Company,Organization,Person,Commodity,Concept,Country,Indicator,Instrument,MarketIndex,Sector,Technology,Broker,Product",EntityType,,エンティティ種別分類（統合版）
LED_BY,1,"Company,Entity","Entity,Person","context,created_at,method,confidence",経営者
MAKES_CLAIM,2211,Source,Claim,,ソースが含むClaim
MEASURES,336,FinancialDataPoint,Metric,,計測指標へのリンク
MENTIONS,925,Fact,"Entity,Technology,Organization,Person,Indicator,Concept,Sector,Product,Company,Instrument",,Factが言及するエンティティ
NEXT_PERIOD,15,FiscalPeriod,FiscalPeriod,"gap_months",時系列期間リンク（前後期間）
ON_ENTITY,74,Stance,Entity,,スタンス対象エンティティ
OPERATES_IN,2,"Company,Organization","Entity,Country","context,created_at,method,confidence",事業展開国
PARENT_CLASS,6,InstrumentClass,InstrumentClass,,商品クラスの親クラス（FIBO階層）
PARTNERS_WITH,23,"Company,Entity","Entity,Company","evidence_count,method,confidence,context,created_at,path_weight,since",パートナーシップ関係
RATED_AS,2821,Source,TrustLevel,,ソース信頼度評価
RELATES_TO,4433,"Entity,Company,Organization,Person,Commodity,Concept,Country,Indicator,Instrument,MarketIndex,Sector,Technology,Fact,Claim,FinancialDataPoint","Entity,Company,Organization,Person,Commodity,Concept,Country,Indicator,Instrument,MarketIndex,Sector,Technology,Product,Topic","chunk_count,evidence_count,reified_path,bridge_type,relationship_type,source_count,context,via_bridge,hops,path_weight",汎用関連リレーション（bridge型）
